issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"As a non-admin user, I am unable to directly restore your access to the Claude team workspace. According to our policies, only an organization Admin can manage Console members and invitations, including restoring access. Please reach out to your workspace's Primary Owner, Owner, or Console Admin and ask them to restore your seat. They can manage members and invitations as described in our support documentation.",account_management,escalated,product_issue,"The user is requesting account access restoration after being removed by an IT admin, and explicitly states they are not the workspace owner or admin. Document 1 and Document 8 indicate that only organization Admins can manage Console members and workspaces. Document 3 states that human specialist support for account access is not directly available for non-Admin account types, and an Owner or Admin must reach out on their behalf. This falls under the escalation rule for 'Account access restoration or permission changes that require admin action'."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"HackerRank does not participate in hiring decisions and is not authorized to review test answers, modify scores, or influence a company's hiring workflow. For any requests regarding your test results, score disputes, or to discuss your application status, please reach out directly to the recruiter or hiring team at the company you applied to.",screen,escalated,product_issue,"The user is requesting a score review, score increase, and intervention in the hiring process. Document 8 explicitly states that 'HackerRank does not participate in hiring decisions. The HackerRank team is not authorized to share test results, reschedule assessments or interviews, grant testing accommodations, or modify your hiring workflow. HackerRank redirects all such requests to your recruiter or hiring team to ensure your organization retains full decision control.' This falls under the escalation rule for 'Requests demanding actions the support agent cannot perform'."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"To dispute a charge for a product you received incorrectly, please contact your card issuer or bank directly. You can find their freephone number on the front or back of your Visa card. Your issuer or bank will require detailed information regarding the transaction to help resolve the dispute. Please note that Visa does not set up, service, or have access to individual cardholder or merchant accounts, and therefore cannot directly issue refunds or ban sellers. If you have concerns involving a merchant, you can also report them by filling out the online form available on the Visa website.",dispute_resolution,escalated,product_issue,"The user is requesting a refund and demanding that Visa ban the merchant from taking payments. While the corpus provides guidance on disputing charges through the card issuer, the demand to ban a seller requires human judgment and is beyond what can be resolved automatically. Escalating for proper handling."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"We understand that your mock interview stopped midway and you are requesting a refund. For all refund requests related to mock interviews, please contact help@hackerrank.com. Our support team will review your request promptly.",community,escalated,product_issue,"The user is requesting a refund for mock interviews. According to the critical rules, refund requests or payment issues requiring action on an account must always be escalated. Document 8, 'Purchase Mock Interview Credits,' specifies that for refunds, users should contact help@hackerrank.com."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Your request regarding a payment issue and refund requires further investigation by our support team. We are escalating this to the appropriate department. They will review your order ID: cs_live_abcdefgh and contact you with more information.,settings,escalated,product_issue,"The user is reporting a payment issue and requesting a refund ('Give me my money'). According to the critical rules, billing disputes, refund requests, or payment issues requiring action on an account must always be escalated. While Document 4 mentions refunds for incorrectly deducted mock interview payments, it does not provide a general process for users to request a refund or resolve a payment issue, indicating that this requires human judgment and account-level action."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,We understand you're looking for assistance with your company's infosec process related to using HackerRank for hiring. Our support team does not have the capability to fill out internal company forms. This type of request requires specific company-level information and manual intervention that falls outside the scope of standard support. We recommend reaching out to your HackerRank account representative or sales contact for further assistance with such inquiries.,general_help,escalated,feature_request,"The user is requesting HackerRank to fill in their company infosec forms, which is not a supported service. This is a feature request for a service that does not exist. Escalating as it requires human judgment to determine if this can be accommodated."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"To access coding challenges for practice, please navigate to the 'Prepare' tab on HackerRank. If your submissions are not working or you are not seeing challenge results, please try the following steps:

1.  **For challenges not loading or showing an infinite processing message:**
    *   Close the challenge window and reopen it using the same challenge link.
    *   Try opening the challenge in another supported browser (e.g., Chrome, Firefox, Edge).
    *   Ensure your internet connection is stable.

2.  **For not seeing challenge results:**
    *   Allow some time for the challenge results to process; they usually appear shortly after submission.
    *   Check the leaderboard, as it may take time to refresh.
    *   Confirm you are logged into the correct HackerRank Community account that you used for the challenge.

If you continue to experience issues with your submissions or results, please contact HackerRank support at help@hackerrank.com.",community,replied,bug,"The user is asking about where to find practice challenges and issues with submissions. Document 7 clearly states that 'Coding challenges' are available in the 'Prepare' tab, addressing the 'apply tab' query. Document 2 provides comprehensive troubleshooting steps for 'challenges do not load or show an infinite Processing message' and 'Why do I not see my challenge results,' which directly addresses the 'submissions not working' issue. The response combines these instructions and advises contacting support if the problem persists, as suggested in Document 2."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"If you are experiencing issues with submissions not working or challenges not loading on HackerRank, please try the following troubleshooting steps:

1.  Close the challenge window and then reopen it using the same challenge link.
2.  Try opening the challenge in another supported browser, such as the latest versions of Chrome, Firefox, or Edge.
3.  Ensure you have a stable internet connection.
4.  After submitting, please wait for the challenge results to process, as they usually appear shortly after submission. If you don't see them immediately, they might still be processing.
5.  Confirm that you are logged into the correct HackerRank Community account that you used to participate in the challenge, as results do not appear across different accounts.

If you have run your code or tests but haven't clicked the 'Submit' button for the question, the system will use the latest compiled version of your code when the test submission or timer expires. Ensure you click 'Submit' after completing each solution and 'Submit Test' when you are ready to submit all questions.

If the issue persists after trying these steps, please contact HackerRank support at help@hackerrank.com.",community,replied,bug,"The user reports that submissions are not working across ALL challenges on the website, indicating a potential site-wide bug rather than a single-user issue. Providing troubleshooting steps from the corpus while classifying as a bug report."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"It sounds like you're encountering a persistent issue with Zoom connectivity during the HackerRank compatibility check, preventing you from taking your test. Since you've already tried adjusting settings and configurations, the next step is to contact HackerRank support directly. Please visit the [HackerRank Compatibility link](https://www.hackerrank.com/compatibility) to review the results and then email [support@hackerrank.com](mailto:support@hackerrank.com) with a screenshot of the error message and your interview link, if applicable. This will help our support team investigate further.",screen,replied,product_issue,"The user is facing a Zoom connectivity blocker during a compatibility check that prevents them from taking a HackerRank test. The corpus documents describe Zoom integration for interviews, but the user context indicates this is for a screening test. Advising to contact support as troubleshooting steps have been exhausted."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"As a candidate, you cannot directly reschedule your HackerRank assessment. The company that invited you, ""Company Name"", has the ability to reinvite you to retake the test. Please reach out to them directly to request a new invitation for your assessment.",screen,replied,product_issue,"The retrieved documents indicate that candidates cannot directly reschedule tests. Document 4, 'Reinvite Candidates to a Test', states that a recruiter can reinvite a candidate to retake a test if they experienced an issue, which effectively allows for a new attempt. Therefore, the user needs to contact the company that invited them to request this action."
